Timestamp,Class,Class Icon,Location,Duration,Total Silver,Silver/Hr,Trash/Hr,Loot Summary,Raw Data
2026-05-19 02:47:31,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:23,0,0,0,,{}
2026-05-19 02:53:18,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:00,0,0,0,,{}
2026-05-19 02:53:22,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:03,0,0,0,,{}
2026-05-19 02:53:25,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:01,0,0,0,,{}
2026-05-19 02:53:31,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:01,0,0,0,,{}
2026-05-19 02:53:34,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:01,0,0,0,,{}
2026-05-19 02:59:21,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:07,0,0,0,,{}
2026-05-19 03:11:00,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:10:57,216105662,1181031405,20340,"discarded kkebicap (x3722), caphras stone (x8), black stone (x5), ancient spirit dust (x6)","{""discarded kkebicap"": {""qty"": 3722, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 8, ""price"": 2100000, ""icon"": ""drop_icons/721003.png""}, ""black stone"": {""qty"": 5, ""price"": 290000, ""icon"": ""drop_icons/16001.png""}, ""ancient spirit dust"": {""qty"": 6, ""price"": 364400, ""icon"": ""drop_icons/721002.png""}}"
2026-05-19 03:34:04,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:05:58,289850634,2902790205,18567,"discarded kkebicap (x1854), ancient spirit dust (x10), won dawn crystal - black spirit's rage (x2), black stone (x6)","{""discarded kkebicap"": {""qty"": 1854, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""ancient spirit dust"": {""qty"": 10, ""price"": 364400, ""icon"": ""drop_icons/721002.png""}, ""won dawn crystal - black spirit's rage"": {""qty"": 2, ""price"": 93500000, ""icon"": ""drop_icons/15266.png""}, ""black stone"": {""qty"": 6, ""price"": 290000, ""icon"": ""drop_icons/16001.png""}}"
2026-05-19 04:07:51,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:10:29,211098183,1207598395,20439,"discarded kkebicap (x3573), caphras stone (x8), black stone (x16), ancient spirit dust (x5)","{""discarded kkebicap"": {""qty"": 3573, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""caphras stone"": {""qty"": 8, ""price"": 2100000, ""icon"": ""drop_icons/721003.png""}, ""black stone"": {""qty"": 16, ""price"": 290000, ""icon"": ""drop_icons/16001.png""}, ""ancient spirit dust"": {""qty"": 5, ""price"": 364400, ""icon"": ""drop_icons/721002.png""}}"
2026-05-19 04:53:57,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:16:01,352810197,1320813909,15749,"discarded kkebicap (x4207), won dawn crystal - all ap (x2), ancient spirit dust (x10)","{""discarded kkebicap"": {""qty"": 4207, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""won dawn crystal - all ap"": {""qty"": 2, ""price"": 64000000, ""icon"": ""drop_icons/15263.png""}, ""ancient spirit dust"": {""qty"": 10, ""price"": 364400, ""icon"": ""drop_icons/721002.png""}}"
2026-05-19 05:10:11,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:00:32,0,0,0,,{}
2026-05-19 05:32:25,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:09,0,0,0,,{}
2026-05-19 06:19:51,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Dokkebi Forest,00:11:15,245355562,1306070749,18215,"discarded kkebicap (x3422), won dawn crystal - all ap (x1), ancient spirit dust (x4)","{""discarded kkebicap"": {""qty"": 3422, ""price"": 52571, ""icon"": ""drop_icons/56327.png""}, ""won dawn crystal - all ap"": {""qty"": 1, ""price"": 64000000, ""icon"": ""drop_icons/15263.png""}, ""ancient spirit dust"": {""qty"": 4, ""price"": 364400, ""icon"": ""drop_icons/721002.png""}}"
2026-05-19 15:25:27,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Cartian Spell,00:02:11,15000,407050,0,"broken shackles (x0), log (x1)","{""broken shackles"": {""qty"": 0, ""price"": 500, ""icon"": ""drop_icons/44172.png""}, ""log"": {""qty"": 1, ""price"": 15000, ""icon"": ""drop_icons/4605.png""}}"
2026-05-19 15:25:31,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Cartian Spell,00:02:11,15000,394659,0,"broken shackles (x0), log (x1)","{""broken shackles"": {""qty"": 0, ""price"": 500, ""icon"": ""drop_icons/44172.png""}, ""log"": {""qty"": 1, ""price"": 15000, ""icon"": ""drop_icons/4605.png""}}"
2026-05-19 15:25:31,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,Cartian Spell,00:02:11,15000,393394,0,"broken shackles (x0), log (x1)","{""broken shackles"": {""qty"": 0, ""price"": 500, ""icon"": ""drop_icons/44172.png""}, ""log"": {""qty"": 1, ""price"": 15000, ""icon"": ""drop_icons/4605.png""}}"
2026-05-19 15:33:48,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:51,0,0,0,,{}
2026-05-19 15:35:48,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:01:57,0,0,0,,{}
2026-05-19 15:44:05,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:08:16,0,0,0,,{}
2026-05-19 15:44:06,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:08:16,0,0,0,,{}
2026-05-19 15:44:06,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:08:16,0,0,0,,{}
2026-05-19 15:44:06,Awakening Kunoichi,class_icons/Kunoichi_class_icon_White.png,SEARCHING...,00:08:16,0,0,0,,{}
